,index,Municipality
0,Aconchi,7
1,Moctezuma,7
2,San Javier,7
3,San Felipe de Jesús,7
4,Sahuaripa,7
5,Rosario,7
6,Rayón,7
7,Quiriego,7
8,Puerto Peñasco,7
9,Pitiquito,7
10,Oquitoa,7
11,Opodepe,7
12,Ónavas,7
13,Nogales,7
14,Navojoa,7
15,Nacozari de García,7
16,Nácori Chico,7
17,San Luis Río Colorado,7
18,San Miguel de Horcasitas,7
19,San Pedro de la Cueva,7
20,Ures,7
21,San Ignacio Río Muerto,7
22,Benito Juárez,7
23,General Plutarco Elías Calles,7
24,Yécora,7
25,Villa Pesqueira,7
26,Villa Hidalgo,7
27,Tubutama,7
28,Santa Ana,7
29,Trincheras,7
30,Tepache,7
31,Suaqui Grande,7
32,Soyopa,7
33,Sáric,7
34,Santa Cruz,7
35,Naco,7
36,Mazatán,7
37,Agua Prieta,7
38,Magdalena,7
39,Caborca,7
40,Benjamín Hill,7
41,Bavispe,7
42,Baviácora,7
43,Banámichi,7
44,Bácum,7
45,Bacoachi,7
46,Bacerac,7
47,Bacanora,7
48,Bacadéhuachi,7
49,Atil,7
50,Arizpe,7
51,Arivechi,7
52,Altar,7
53,Álamos,7
54,Cajeme,7
55,Cananea,7
56,Carbó,7
57,Guaymas,7
58,Imuris,7
59,Huépac,7
60,Huatabampo,7
61,Huásabas,7
62,Huachinera,7
63,Hermosillo,7
64,Granados,7
65,La Colorada,7
66,Fronteras,7
67,Etchojoa,7
68,Empalme,7
69,Divisaderos,7
70,Cumpas,7
71,Cucurpe,7
72,No Informado,7
