Municipality ID,Municipality,Year,Value
26001,Aconchi,2015,9
26001,Aconchi,2016,56
26001,Aconchi,2017,20
26001,Aconchi,2018,13
26001,Aconchi,2019,17
26001,Aconchi,2020,8
26001,Aconchi,2021,52
26002,Agua Prieta,2015,696
26002,Agua Prieta,2016,677
26002,Agua Prieta,2017,361
26002,Agua Prieta,2018,307
26002,Agua Prieta,2019,732
26002,Agua Prieta,2020,1334
26002,Agua Prieta,2021,1634
26003,Álamos,2015,183
26003,Álamos,2016,180
26003,Álamos,2017,67
26003,Álamos,2018,96
26003,Álamos,2019,125
26003,Álamos,2020,91
26003,Álamos,2021,147
26004,Altar,2015,71
26004,Altar,2016,90
26004,Altar,2017,25
26004,Altar,2018,3
26004,Altar,2019,15
26004,Altar,2020,39
26004,Altar,2021,71
26005,Arivechi,2015,7
26005,Arivechi,2016,12
26005,Arivechi,2017,1
26005,Arivechi,2018,2
26005,Arivechi,2019,2
26005,Arivechi,2020,6
26005,Arivechi,2021,15
26006,Arizpe,2015,11
26006,Arizpe,2016,31
26006,Arizpe,2017,17
26006,Arizpe,2018,3
26006,Arizpe,2019,1
26006,Arizpe,2020,2
26006,Arizpe,2021,21
26007,Atil,2015,1
26007,Atil,2016,1
26007,Atil,2017,2
26007,Atil,2018,0
26007,Atil,2019,0
26007,Atil,2020,0
26007,Atil,2021,3
26008,Bacadéhuachi,2015,5
26008,Bacadéhuachi,2016,5
26008,Bacadéhuachi,2017,1
26008,Bacadéhuachi,2018,0
26008,Bacadéhuachi,2019,1
26008,Bacadéhuachi,2020,4
26008,Bacadéhuachi,2021,15
26009,Bacanora,2015,6
26009,Bacanora,2016,8
26009,Bacanora,2017,4
26009,Bacanora,2018,3
26009,Bacanora,2019,1
26009,Bacanora,2020,2
26009,Bacanora,2021,13
26010,Bacerac,2015,2
26010,Bacerac,2016,2
26010,Bacerac,2017,0
26010,Bacerac,2018,0
26010,Bacerac,2019,0
26010,Bacerac,2020,8
26010,Bacerac,2021,15
26011,Bacoachi,2015,6
26011,Bacoachi,2016,4
26011,Bacoachi,2017,7
26011,Bacoachi,2018,6
26011,Bacoachi,2019,6
26011,Bacoachi,2020,5
26011,Bacoachi,2021,6
26012,Bácum,2015,110
26012,Bácum,2016,142
26012,Bácum,2017,126
26012,Bácum,2018,83
26012,Bácum,2019,102
26012,Bácum,2020,162
26012,Bácum,2021,196
26013,Banámichi,2015,2
26013,Banámichi,2016,26
26013,Banámichi,2017,4
26013,Banámichi,2018,5
26013,Banámichi,2019,2
26013,Banámichi,2020,6
26013,Banámichi,2021,20
26014,Baviácora,2015,20
26014,Baviácora,2016,30
26014,Baviácora,2017,11
26014,Baviácora,2018,7
26014,Baviácora,2019,10
26014,Baviácora,2020,12
26014,Baviácora,2021,33
26015,Bavispe,2015,5
26015,Bavispe,2016,1
26015,Bavispe,2017,3
26015,Bavispe,2018,0
26015,Bavispe,2019,5
26015,Bavispe,2020,5
26015,Bavispe,2021,12
26016,Benjamín Hill,2015,29
26016,Benjamín Hill,2016,78
26016,Benjamín Hill,2017,43
26016,Benjamín Hill,2018,42
26016,Benjamín Hill,2019,30
26016,Benjamín Hill,2020,63
26016,Benjamín Hill,2021,96
26017,Caborca,2015,1189
26017,Caborca,2016,1619
26017,Caborca,2017,613
26017,Caborca,2018,507
26017,Caborca,2019,848
26017,Caborca,2020,1142
26017,Caborca,2021,1464
26018,Cajeme,2015,4968
26018,Cajeme,2016,4921
26018,Cajeme,2017,4357
26018,Cajeme,2018,3774
26018,Cajeme,2019,5797
26018,Cajeme,2020,6180
26018,Cajeme,2021,7062
26019,Cananea,2015,455
26019,Cananea,2016,393
26019,Cananea,2017,83
26019,Cananea,2018,28
26019,Cananea,2019,198
26019,Cananea,2020,340
26019,Cananea,2021,452
26020,Carbó,2015,14
26020,Carbó,2016,34
26020,Carbó,2017,28
26020,Carbó,2018,18
26020,Carbó,2019,30
26020,Carbó,2020,18
26020,Carbó,2021,22
26021,La Colorada,2015,10
26021,La Colorada,2016,22
26021,La Colorada,2017,13
26021,La Colorada,2018,14
26021,La Colorada,2019,12
26021,La Colorada,2020,10
26021,La Colorada,2021,11
26022,Cucurpe,2015,11
26022,Cucurpe,2016,9
26022,Cucurpe,2017,12
26022,Cucurpe,2018,7
26022,Cucurpe,2019,10
26022,Cucurpe,2020,15
26022,Cucurpe,2021,26
26023,Cumpas,2015,27
26023,Cumpas,2016,56
26023,Cumpas,2017,13
26023,Cumpas,2018,20
26023,Cumpas,2019,9
26023,Cumpas,2020,54
26023,Cumpas,2021,74
26024,Divisaderos,2015,3
26024,Divisaderos,2016,2
26024,Divisaderos,2017,3
26024,Divisaderos,2018,1
26024,Divisaderos,2019,2
26024,Divisaderos,2020,1
26024,Divisaderos,2021,4
26025,Empalme,2015,354
26025,Empalme,2016,455
26025,Empalme,2017,272
26025,Empalme,2018,263
26025,Empalme,2019,412
26025,Empalme,2020,339
26025,Empalme,2021,629
26026,Etchojoa,2015,376
26026,Etchojoa,2016,449
26026,Etchojoa,2017,226
26026,Etchojoa,2018,170
26026,Etchojoa,2019,240
26026,Etchojoa,2020,562
26026,Etchojoa,2021,526
26027,Fronteras,2015,28
26027,Fronteras,2016,59
26027,Fronteras,2017,20
26027,Fronteras,2018,18
26027,Fronteras,2019,33
26027,Fronteras,2020,89
26027,Fronteras,2021,74
26028,Granados,2015,0
26028,Granados,2016,4
26028,Granados,2017,2
26028,Granados,2018,2
26028,Granados,2019,2
26028,Granados,2020,0
26028,Granados,2021,2
26029,Guaymas,2015,963
26029,Guaymas,2016,1094
26029,Guaymas,2017,613
26029,Guaymas,2018,482
26029,Guaymas,2019,628
26029,Guaymas,2020,1027
26029,Guaymas,2021,1855
26030,Hermosillo,2015,10955
