Municipality ID,Municipality,Year,Worked Hours Week,Worked Days Week,Monthly Wage,Number of Records
26002,Agua Prieta,2013,26.065867688974347,3.1424967919633184,2477.5295519142287,397
26002,Agua Prieta,2014,29.955015287820302,3.4803264611705416,2929.4519817990677,509
26002,Agua Prieta,2015,29.28597615039002,3.4509010848882733,3172.9686488209686,429
26002,Agua Prieta,2016,26.139957122396876,3.1402062039088006,2741.9367777748125,236
26002,Agua Prieta,2017,26.13271522763935,3.251970994972671,2995.571070147688,655
26002,Agua Prieta,2018,22.62478464670032,2.79690191916246,3916.5672127795833,640
26002,Agua Prieta,2019,23.259847913604702,2.968148763499265,3527.0876912262765,768
26002,Agua Prieta,2020,20.506730083234245,2.495857872280898,2944.498115688606,566
26002,Agua Prieta,2021,22.642418987699173,2.7778580120284744,3445.4634485791457,911
26002,Agua Prieta,2022,23.900811119263064,3.0682196135974564,4045.164245536806,465
26003,Álamos,2013,20.2554033611704,2.8439397393124315,1161.5213544149035,175
26003,Álamos,2014,21.73513869244067,3.1893466132327517,1369.0381109539526,200
26003,Álamos,2015,23.065879400856232,3.210679814666036,1054.4284252115822,190
26003,Álamos,2016,22.897959183673468,2.9183673469387754,897.8775510204082,49
26004,Altar,2017,25.560672663464647,3.3435422630526177,2107.48511779995,162
26004,Altar,2018,25.41221919581457,3.313502872090828,3454.128044011758,158
26004,Altar,2019,19.72814221331998,2.5818728092138206,2783.3344016024034,91
26009,Bacanora,2019,25.075,3.175,2439,40
26009,Bacanora,2020,17.89113019185736,2.5120578447886284,2433.513495747915,135
26009,Bacanora,2021,16.94545160246034,3.113305276788605,1908.030754289414,41
26010,Bacerac,2018,21.80211215903315,3.0206415541876095,2022.2085898232338,82
26010,Bacerac,2019,16.46782456578783,2.3682369111583155,1479.9027864550794,125
26012,Bácum,2013,24.170830280431403,3.089407635910527,2277.94785721286,357
26012,Bácum,2014,19.011849501537498,2.4655874806588716,1779.3976438098596,239
26012,Bácum,2015,16.638454606421327,2.0764733003604663,1345.2564862939057,188
26012,Bácum,2016,20.10901075911536,2.5369595536959553,1996.721682606097,151
26012,Bácum,2017,26.621601742623554,3.14660952219299,2759.240685733684,167
26012,Bácum,2018,29.10809922600093,3.3068911981686933,3101.9127409539565,220
26012,Bácum,2019,25.377580350143717,3.26474570634487,3029.834620044184,270
26012,Bácum,2020,27.589692081671814,3.4659550864989654,3099.4803915689745,151
26012,Bácum,2021,23.018116900290927,2.961537008350021,2665.435957985416,284
26014,Baviácora,2013,20.993969274111898,2.747743980279086,2022.9243297970684,219
26017,Caborca,2013,36.63316042358903,4.1453876126503,4005.8954174933665,198
26017,Caborca,2014,27.2748386330337,3.3904750590688897,2767.5567853324355,401
26017,Caborca,2015,25.159707246945043,3.093493254442088,2325.875550248614,408
26017,Caborca,2016,29.834125762570338,3.6455816098257072,3878.8299756351375,339
26017,Caborca,2017,25.58257299270073,2.9382530120481927,2720.6208501890774,388
26017,Caborca,2018,23.81555369543651,2.9832356770833335,3258.3104499937995,543
26017,Caborca,2019,27.760805948668747,3.2710828602649182,3883.2286133098796,786
26017,Caborca,2020,24.074014309044248,2.9735204914845634,3653.492903802784,270
26017,Caborca,2021,23.610310889775445,2.955125001135961,3894.8828506256873,168
26017,Caborca,2022,23.168269366346127,3.0404387919122415,3861.9662258067547,228
26018,Cajeme,2013,23.304617651920776,2.950904702266379,2520.4624089063723,2719
26018,Cajeme,2014,25.233532279728266,3.1808475609971056,2739.7951695862316,2731
26018,Cajeme,2015,24.669228875161924,3.1314708700446423,2610.738110754852,2878
26018,Cajeme,2016,23.08547567521188,2.9200550402155847,2466.645649693815,2925
26018,Cajeme,2017,23.99690471659975,3.0556243622030075,2582.3226794008247,2681
26018,Cajeme,2018,23.955840917259405,3.1290369338308923,2591.38092533512,2470
26018,Cajeme,2019,23.264811831236337,2.9683340274243055,2766.879648832034,2431
26018,Cajeme,2020,20.825410086542266,2.685888595931064,3162.6081190671143,1562
26018,Cajeme,2021,23.431519129431575,2.9916496038303904,3242.5289124130836,2246
26018,Cajeme,2022,24.791979689962155,3.0722433972174708,3589.966843997899,1348
26019,Cananea,2013,27.36897429429705,3.2252516682336214,3352.993501341466,430
26019,Cananea,2014,26.743746186699205,3.171221691849406,3469.0083623443275,172
