,Municipality,Year,number_crimes,worked_hours_week,monthly_wage,amount_executed
0,Agua Prieta,2015-01-01,696,29.28597615039002,3172.9686488209686,3779522492.529999
1,Álamos,2015-01-01,183,23.065879400856232,1054.4284252115822,3779522492.529999
2,Bácum,2015-01-01,110,16.638454606421327,1345.2564862939057,3779522492.529999
3,Caborca,2015-01-01,1189,25.159707246945043,2325.875550248614,3779522492.529999
4,Cajeme,2015-01-01,4968,24.669228875161924,2610.738110754852,3779522492.529999
5,Cananea,2015-01-01,455,29.8091260701826,4026.246445681856,3779522492.529999
6,La Colorada,2015-01-01,10,24.156151165907264,3131.136531760922,3779522492.529999
7,Cumpas,2015-01-01,27,22.760705457946425,2957.4666978422074,3779522492.529999
8,Empalme,2015-01-01,354,27.697202277791533,2970.4204753651893,3779522492.529999
9,Etchojoa,2015-01-01,376,21.740663647978028,1566.3958813151285,3779522492.529999
10,Guaymas,2015-01-01,963,23.645464301945477,3280.989979685592,3779522492.529999
11,Hermosillo,2015-01-01,10955,24.71438681244173,3640.443228663446,3779522492.529999
12,Huatabampo,2015-01-01,418,20.520909059398505,2038.7920855911543,3779522492.529999
13,Magdalena,2015-01-01,209,20.022818203409027,3130.169647587555,3779522492.529999
14,Nacozari de García,2015-01-01,100,21.19171157664411,3877.9236395315856,3779522492.529999
15,Navojoa,2015-01-01,1178,23.259394894884863,2234.011447429072,3779522492.529999
16,Nogales,2015-01-01,1690,26.555811958402955,3363.957694526563,3779522492.529999
17,Puerto Peñasco,2015-01-01,563,21.925836856599823,2850.928823552229,3779522492.529999
18,Quiriego,2015-01-01,16,16.939345570630486,1832.063527533919,3779522492.529999
19,Sahuaripa,2015-01-01,45,20.476189304562844,2551.8360623469925,3779522492.529999
20,San Luis Río Colorado,2015-01-01,2832,24.231756552122885,2774.1821604046786,3779522492.529999
21,San Miguel de Horcasitas,2015-01-01,11,34.21338229294166,2989.7588739290086,3779522492.529999
22,Santa Ana,2015-01-01,96,26.66837875611461,3783.5000989983696,3779522492.529999
23,Sáric,2015-01-01,20,16.2242100532393,1696.2163797275807,3779522492.529999
24,Ures,2015-01-01,151,20.4328710411923,2281.349151314428,3779522492.529999
25,Benito Juárez,2015-01-01,292,22.59123311429884,2337.3516045610104,3779522492.529999
26,Agua Prieta,2016-01-01,677,26.13995712239688,2741.9367777748125,4375163125.9
27,Álamos,2016-01-01,180,22.897959183673468,897.8775510204082,4375163125.9
28,Bácum,2016-01-01,142,20.10901075911536,1996.721682606097,4375163125.9
29,Caborca,2016-01-01,1619,29.834125762570338,3878.8299756351375,4375163125.9
30,Cajeme,2016-01-01,4921,23.08547567521188,2466.645649693815,4375163125.9
31,Cananea,2016-01-01,393,24.46211088984383,3783.8140345565134,4375163125.9
32,Empalme,2016-01-01,455,26.55236489018814,3189.569849836344,4375163125.9
33,Etchojoa,2016-01-01,449,21.29843686961896,1567.3767736508237,4375163125.9
34,Guaymas,2016-01-01,1094,24.43009157008193,3229.898011422786,4375163125.9
35,Hermosillo,2016-01-01,19092,25.51535693392856,3627.347717543718,4375163125.9
